45
9771 0 0 12 
9771 2 9 16 
9388 0 15 8 
9069 0 5 2 
9052 2 1 6 
8728 3 3 2 
8710 1 1 11 
8251 1 17 14 
7810 0 21 9 
7489 0 2 6 
7205 3 21 10 
7199 1 4 8 
6899 0 21 9 
6823 2 0 5 
6546 0 10 5 
6275 2 16 10 
5295 0 0 5 
5005 2 16 1 
4970 1 0 7 
4767 0 0 10 
4751 2 9 13 
4435 2 6 5 
4034 2 13 16 
4025 0 6 1 
3779 3 20 13 
3777 2 3 13 
3688 0 20 7 
3382 0 1 5 
3197 2 12 5 
3152 3 20 8 
3018 0 4 16 
2868 2 21 11 
2643 0 12 1 
2349 0 1 7 
2172 1 8 5 
1989 2 6 16 
1916 0 14 13 
1629 0 19 4 
1436 2 11 16 
1189 0 0 12 
1034 2 8 15 
1030 3 5 5 
714 0 14 4 
634 2 11 12 
306 0 5 14 
