39
8839 2 17 10 
8595 2 0 9 
7990 3 4 10 
7647 1 4 0 
7234 2 19 13 
7223 3 21 6 
6981 3 0 5 
6947 0 5 0 
6618 1 13 0 
6555 3 20 12 
5889 1 17 0 
5849 2 3 16 
5291 1 1 14 
5061 3 13 0 
4838 1 6 0 
4697 3 13 16 
4565 1 0 12 
4285 3 2 15 
3949 1 21 12 
3918 3 4 0 
3522 1 6 0 
3501 3 19 15 
3266 1 18 1 
3162 3 21 4 
2827 1 18 16 
2564 3 11 0 
2500 1 21 7 
2041 3 11 0 
1932 1 7 0 
1695 1 19 2 
1445 0 8 0 
1356 1 12 16 
954 0 21 7 
911 1 17 5 
768 3 5 16 
615 0 18 1 
332 3 14 16 
321 2 1 8 
20 3 9 1 
