3 0 0 
2 1 0 
1 2 0 
0 3 3 
3 4 0 
2 5 0 
1 6 0 
0 7 3 
3 8 0 
2 9 0 
1 10 0 
0 11 3 
3 12 0 
2 13 0 
1 14 0 
0 15 3 
3 16 0 
2 17 5 
0 1 4 1 1 3 3 3 3 3 3 3 3 3 3 3 3 3 1 1 -858993460 -858993460 -858993460 -858993460 -858993460 -858993460 -858993460 -858993460 -858993460 -858993460 
1 18 0 
0 19 3 
3 20 0 
2 21 4 
1 22 0 
0 23 3 
3 24 0 
2 25 4 
1 26 0 
0 27 3 
3 28 0 
2 29 4 
1 30 0 
0 31 0 
3 32 0 
2 33 4 
1 34 0 
0 35 0 
3 36 0 
2 37 4 
1 38 0 
0 39 0 
3 40 0 
2 41 1 
1 42 0 
0 43 0 
3 44 0 
2 45 1 
1 46 0 
0 47 0 
3 48 0 
2 49 1 
1 50 0 
0 51 0 
3 52 0 
2 53 1 
1 54 0 
0 55 0 
3 56 0 
2 57 1 
1 58 0 
0 59 0 
3 60 0 
2 61 1 
1 62 0 
0 63 0 
3 64 0 
2 65 3 
1 66 0 
0 67 0 
3 68 0 
2 69 3 
1 70 0 
0 71 0 
3 72 3 
2 73 3 
1 74 0 
0 75 0 
3 76 3 
2 77 3 
1 78 0 
0 79 0 
3 80 3 
2 81 2 
1 82 0 
0 83 0 
3 84 3 
2 85 2 
1 86 0 
0 87 0 
3 88 3 
2 89 2 
1 90 0 
0 91 0 
3 92 1 
2 93 2 
1 94 0 
0 95 0 
3 96 1 
2 97 2 
1 98 0 
0 99 0 
3 100 1 
2 101 2 
1 102 0 
0 103 0 
3 104 1 
2 105 2 
1 106 0 
0 107 0 
3 108 1 
2 109 2 
1 110 0 
0 111 0 
3 112 1 
2 113 2 
1 114 0 
0 115 0 
3 116 1 
2 117 2 
1 118 0 
0 119 0 
3 120 1 
2 121 3 
1 122 0 
0 123 0 
3 124 1 
2 125 3 
1 126 0 
0 127 0 
3 128 1 
2 129 3 
1 130 3 
0 131 0 
3 132 3 
2 133 3 
1 134 3 
0 135 0 
3 136 3 
2 137 3 
1 138 3 
0 139 0 
3 140 3 
2 141 2 
1 142 3 
0 143 0 
3 144 2 
2 145 2 
1 146 3 
0 147 0 
3 148 2 
2 149 2 
1 150 3 
0 151 0 
3 152 3 
2 153 2 
1 154 3 
0 155 0 
3 156 3 
2 157 2 
1 158 3 
0 159 0 
3 160 3 
2 161 3 
1 162 3 
0 163 0 
3 164 3 
2 165 5 
0 1 1 3 1 1 1 3 -858993460 -858993460 -858993460 -858993460 -858993460 -858993460 -858993460 -858993460 -858993460 -858993460 -858993460 -858993460 -858993460 -858993460 -858993460 -858993460 -858993460 -858993460 -858993460 -858993460 -858993460 -858993460 
1 166 2 
0 167 0 
3 168 3 
2 169 3 
1 170 5 
2 2 2 2 4 2 2 1 -858993460 -858993460 -858993460 -858993460 -858993460 -858993460 -858993460 -858993460 -858993460 -858993460 -858993460 -858993460 -858993460 -858993460 -858993460 -858993460 -858993460 -858993460 -858993460 -858993460 -858993460 -858993460 
0 171 0 
3 172 3 
2 173 1 
1 174 2 
0 175 0 
3 176 3 
2 177 1 
1 178 2 
0 179 0 
3 180 3 
2 181 3 
1 182 2 
0 183 0 
3 184 4 
2 185 2 
1 186 2 
0 187 0 
3 188 4 
2 189 2 
1 190 2 
0 191 0 
3 192 4 
2 193 2 
1 194 2 
0 195 0 
3 196 4 
2 197 2 
1 198 2 
0 199 0 
3 200 3 
2 201 2 
1 202 2 
0 203 0 
3 204 3 
2 205 3 
1 206 3 
0 207 0 
3 208 3 
2 209 0 
1 210 3 
0 211 0 
3 212 3 
2 213 0 
1 214 5 
4 2 2 2 2 2 2 1 -858993460 -858993460 -858993460 -858993460 -858993460 -858993460 -858993460 -858993460 -858993460 -858993460 -858993460 -858993460 -858993460 -858993460 -858993460 -858993460 -858993460 -858993460 -858993460 -858993460 -858993460 -858993460 
0 215 0 
3 216 3 
2 217 0 
1 218 3 
0 219 0 
3 220 3 
2 221 0 
1 222 3 
0 223 0 
3 224 3 
