32
9063 2 7 5 
8790 3 21 13 
8782 0 11 7 
8107 2 0 11 
8086 1 20 8 
7897 3 18 12 
7507 2 4 8 
7194 0 0 7 
7180 1 6 9 
6909 2 16 13 
6351 3 18 2 
6250 1 14 1 
5872 0 7 4 
5872 2 1 11 
5570 2 20 14 
5450 0 9 1 
5123 2 1 13 
5034 0 21 8 
4152 1 16 14 
3778 1 12 2 
3166 2 18 16 
2910 2 10 2 
2645 0 4 16 
2311 2 0 6 
2300 1 21 13 
1795 2 20 10 
1654 0 15 1 
1047 0 21 8 
582 2 14 16 
562 0 6 5 
245 2 0 13 
186 0 20 14 
